"filename", "language", "C", "C++", "XML", "Makefile", "comment", "blank", "total"
"c:\Projects\github\onixs\onixs_old\Debug\Makefile", "Makefile", 0, 0, 0, 81, 11, 49, 141
"c:\Projects\github\onixs\onixs_old\Debug\makedep.mk", "Makefile", 0, 0, 0, 2, 3, 4, 9
"c:\Projects\github\onixs\onixs_old\Release\Makefile", "Makefile", 0, 0, 0, 81, 11, 49, 141
"c:\Projects\github\onixs\onixs_old\Release\makedep.mk", "Makefile", 0, 0, 0, 2, 3, 4, 9
"c:\Projects\github\onixs\onixs_old\include\adc.h", "C++", 0, 14, 0, 0, 0, 5, 19
"c:\Projects\github\onixs\onixs_old\include\def_shortcuts.h", "C++", 0, 3, 0, 0, 0, 4, 7
"c:\Projects\github\onixs\onixs_old\include\ds1307.h", "C++", 0, 97, 0, 0, 0, 24, 121
"c:\Projects\github\onixs\onixs_old\include\i2c.h", "C++", 0, 34, 0, 0, 1, 11, 46
"c:\Projects\github\onixs\onixs_old\include\keyboard.h", "C++", 0, 70, 0, 0, 0, 13, 83
"c:\Projects\github\onixs\onixs_old\include\lcd2004.h", "C++", 0, 84, 0, 0, 1, 19, 104
"c:\Projects\github\onixs\onixs_old\include\max6675.h", "C++", 0, 30, 0, 0, 0, 10, 40
"c:\Projects\github\onixs\onixs_old\include\onixs.h", "C++", 0, 87, 0, 0, 14, 22, 123
"c:\Projects\github\onixs\onixs_old\include\relay.h", "C++", 0, 22, 0, 0, 0, 9, 31
"c:\Projects\github\onixs\onixs_old\include\saves.h", "C++", 0, 43, 0, 0, 5, 13, 61
"c:\Projects\github\onixs\onixs_old\include\spi.h", "C++", 0, 45, 0, 0, 2, 13, 60
"c:\Projects\github\onixs\onixs_old\include\timer_isr.h", "C++", 0, 19, 0, 0, 4, 8, 31
"c:\Projects\github\onixs\onixs_old\include\undef_shortcuts.h", "C++", 0, 3, 0, 0, 0, 3, 6
"c:\Projects\github\onixs\onixs_old\include\usart.h", "C++", 0, 33, 0, 0, 3, 10, 46
"c:\Projects\github\onixs\onixs_old\onixs.componentinfo.xml", "XML", 0, 0, 86, 0, 0, 0, 86
"c:\Projects\github\onixs\onixs_old\src\main.c", "C", 303, 0, 0, 0, 170, 71, 544
"c:\Projects\github\onixs\onixs_old\src\saves.c", "C", 55, 0, 0, 0, 4, 19, 78
"Total", "-", 358, 584, 86, 166, 232, 360, 1786
